TXN_ID,DATE,CITY,PRODUCT,QUANTITY,UNIT_PRICE,STORE_ADDRESS,REVENUE,YEAR,MONTH,MONTH_NUM,QUARTER,DAY,WEEK,CITY_CODE
J-00069,2024-05-13,London,Wireless Earbuds,2.0,1394.99,"12 Oxford St, W1D 1AB",2789.98,2024,May,5,Q2,13,20,3
J-00070,2024-02-01,Sydney,Gaming Laptop,7.0,212.98,"88 George St, NSW 2000",1490.86,2024,February,2,Q1,1,5,5
J-00074,2024-03-15,New York,Smart TV,1.0,1376.73,"200 Broadway, NY 10007",1376.73,2024,March,3,Q1,15,11,4
J-00076,2024-01-10,Sydney,4K Camera,6.0,1650.85,"City Centre, Pitt St Mall",9905.1,2024,January,1,Q1,10,2,5
J-00077,2024-10-29,London,Gaming Laptop,2.0,549.01,"12 Oxford St, W1D 1AB",1098.02,2024,October,10,Q4,29,44,3
J-00080,2024-12-20,Sydney,Tablet Pro,2.0,83.25,"88 George St, NSW 2000",166.5,2024,December,12,Q4,20,51,5
J-00081,2024-01-16,Sydney,4K Camera,3.0,810.37,"City Centre, Pitt St Mall",2431.11,2024,January,1,Q1,16,3,5
J-00083,2024-08-25,Dubai,4K Camera,4.0,2181.85,"Mall of Emirates, B1-45",8727.4,2024,August,8,Q3,25,34,1
J-00084,2024-04-11,Tokyo,Gaming Console,4.0,1032.46,"1-1 Akihabara, Chiyoda",4129.84,2024,April,4,Q2,11,15,6
J-00087,2024-03-03,London,Smart Watch,3.0,1285.86,"12 Oxford St, W1D 1AB",3857.58,2024,March,3,Q1,3,9,3
J-00089,2024-02-10,Sydney,Wireless Earbuds,3.0,284.96,"88 George St, NSW 2000",854.88,2024,February,2,Q1,10,6,5
J-00091,2024-07-27,Sydney,4K Camera,5.0,512.02,"88 George St, NSW 2000",2560.1,2024,July,7,Q3,27,30,5
J-00092,2024-03-03,New York,Tablet Pro,7.0,237.51,"350 5th Ave, NY 10118",1662.57,2024,March,3,Q1,3,9,4
J-00094,2024-04-30,Dubai,Tablet Pro,5.0,409.93,"Dubai Mall, Level 2, S12",2049.65,2024,April,4,Q2,30,18,1
J-00095,2024-02-23,Sydney,Wireless Earbuds,6.0,868.19,"88 George St, NSW 2000",5209.14,2024,February,2,Q1,23,8,5
J-00096,2024-11-25,London,Smart Watch,4.0,1349.9,"88 Regent Ave, SW1A 2AA",5399.6,2024,November,11,Q4,25,48,3
J-00097,2024-03-22,London,Smart Watch,5.0,57.6,"88 Regent Ave, SW1A 2AA",288.0,2024,March,3,Q1,22,12,3
J-00099,2024-12-27,Kathmandu,4K Camera,5.0,392.8,"New Road, Kathmandu 44600",1964.0,2024,December,12,Q4,27,52,2
J-00101,2024-05-27,London,Smart Watch,6.0,148.31,"12 Oxford St, W1D 1AB",889.86,2024,May,5,Q2,27,22,3
J-00102,2024-05-24,Kathmandu,Wireless Earbuds,3.0,1951.16,"New Road, Kathmandu 44600",5853.48,2024,May,5,Q2,24,21,2
J-00103,2024-05-03,Tokyo,Smart Watch,4.0,1174.3,"3-5 Shinjuku, Shinjuku-ku",4697.2,2024,May,5,Q2,3,18,6
J-00105,2024-06-11,Tokyo,Smart TV,5.0,1151.7,"1-1 Akihabara, Chiyoda",5758.5,2024,June,6,Q2,11,24,6
J-00106,2024-10-19,Dubai,Smart TV,2.0,605.38,"Dubai Mall, Level 2, S12",1210.76,2024,October,10,Q4,19,42,1
J-00108,2024-11-19,London,Smart TV,7.0,2424.88,"88 Regent Ave, SW1A 2AA",16974.16,2024,November,11,Q4,19,47,3
J-00113,2024-02-09,Tokyo,Smart Watch,4.0,1437.76,"3-5 Shinjuku, Shinjuku-ku",5751.04,2024,February,2,Q1,9,6,6
J-00115,2024-01-04,London,Gaming Laptop,2.0,1311.68,"12 Oxford St, W1D 1AB",2623.36,2024,January,1,Q1,4,1,3
J-00116,2024-01-21,Dubai,Smart Watch,5.0,2354.17,"Dubai Mall, Level 2, S12",11770.85,2024,January,1,Q1,21,3,1
J-00119,2024-09-01,Kathmandu,Gaming Laptop,7.0,256.1,"Durbar Marg, KTM 44601",1792.7,2024,September,9,Q3,1,35,2
J-00123,2024-07-07,Kathmandu,Tablet Pro,1.0,1158.39,"Durbar Marg, KTM 44601",1158.39,2024,July,7,Q3,7,27,2
J-00125,2024-07-15,Berlin,Wireless Earbuds,7.0,459.02,"Alexanderplatz 5, 10178",3213.14,2024,July,7,Q3,15,29,0
J-00126,2024-12-30,Dubai,Tablet Pro,5.0,1954.64,"Dubai Mall, Level 2, S12",9773.2,2024,December,12,Q4,30,1,1
J-00127,2024-08-08,Dubai,4K Camera,3.0,699.24,"Mall of Emirates, B1-45",2097.72,2024,August,8,Q3,8,32,1
J-00128,2024-03-26,Berlin,Tablet Pro,3.0,345.07,"Kurfurstendamm 22, 10719",1035.21,2024,March,3,Q1,26,13,0
J-00141,2024-10-19,Tokyo,Tablet Pro,4.0,744.96,"1-1 Akihabara, Chiyoda",2979.84,2024,October,10,Q4,19,42,6
J-00143,2024-12-16,Tokyo,Smart TV,6.0,257.91,"3-5 Shinjuku, Shinjuku-ku",1547.46,2024,December,12,Q4,16,51,6
J-00144,2024-09-03,Berlin,Smart TV,2.0,2423.85,"Alexanderplatz 5, 10178",4847.7,2024,September,9,Q3,3,36,0
J-00146,2024-11-11,Kathmandu,Tablet Pro,4.0,223.09,"Durbar Marg, KTM 44601",892.36,2024,November,11,Q4,11,46,2
J-00150,2024-12-17,Berlin,Gaming Console,6.0,1799.67,"Alexanderplatz 5, 10178",10798.02,2024,December,12,Q4,17,51,0
J-00156,2024-01-28,London,Wireless Earbuds,6.0,1666.5,"88 Regent Ave, SW1A 2AA",9999.0,2024,January,1,Q1,28,4,3
J-00157,2024-11-17,London,Wireless Earbuds,6.0,556.88,"12 Oxford St, W1D 1AB",3341.28,2024,November,11,Q4,17,46,3
J-00162,2024-04-16,Tokyo,Gaming Laptop,1.0,631.45,"3-5 Shinjuku, Shinjuku-ku",631.45,2024,April,4,Q2,16,16,6
J-00163,2024-08-17,Dubai,Wireless Earbuds,2.0,2231.3,"Mall of Emirates, B1-45",4462.6,2024,August,8,Q3,17,33,1
J-00164,2024-09-28,Kathmandu,Smart Watch,4.0,2160.11,"New Road, Kathmandu 44600",8640.44,2024,September,9,Q3,28,39,2
J-00167,2024-08-20,New York,Gaming Laptop,5.0,362.28,"350 5th Ave, NY 10118",1811.4,2024,August,8,Q3,20,34,4
J-00168,2024-06-15,Tokyo,Wireless Earbuds,4.0,371.66,"3-5 Shinjuku, Shinjuku-ku",1486.64,2024,June,6,Q2,15,24,6
J-00174,2024-01-09,Tokyo,Wireless Earbuds,5.0,1569.8,"1-1 Akihabara, Chiyoda",7849.0,2024,January,1,Q1,9,2,6
J-00175,2024-04-04,Berlin,Wireless Earbuds,7.0,1178.94,"Alexanderplatz 5, 10178",8252.58,2024,April,4,Q2,4,14,0
J-00179,2024-01-12,Tokyo,Gaming Console,6.0,1131.86,"3-5 Shinjuku, Shinjuku-ku",6791.16,2024,January,1,Q1,12,2,6
J-00180,2024-05-09,Kathmandu,Gaming Console,1.0,1062.26,"Durbar Marg, KTM 44601",1062.26,2024,May,5,Q2,9,19,2
J-00182,2024-07-05,Dubai,4K Camera,4.0,1417.5,"Dubai Mall, Level 2, S12",5670.0,2024,July,7,Q3,5,27,1
J-00183,2024-09-13,Dubai,Smart Watch,7.0,855.89,"Dubai Mall, Level 2, S12",5991.23,2024,September,9,Q3,13,37,1
J-00184,2024-03-07,Kathmandu,Smart TV,5.0,2494.17,"New Road, Kathmandu 44600",12470.85,2024,March,3,Q1,7,10,2
J-00186,2024-02-25,London,4K Camera,4.0,2235.6,"12 Oxford St, W1D 1AB",8942.4,2024,February,2,Q1,25,8,3
J-00189,2024-01-13,Kathmandu,4K Camera,4.0,2318.9,"Durbar Marg, KTM 44601",9275.6,2024,January,1,Q1,13,2,2
J-00190,2024-08-05,Berlin,Wireless Earbuds,2.0,1299.76,"Kurfurstendamm 22, 10719",2599.52,2024,August,8,Q3,5,32,0
J-00192,2024-02-29,Sydney,Gaming Console,1.0,1804.72,"88 George St, NSW 2000",1804.72,2024,February,2,Q1,29,9,5
J-00195,2024-11-10,Sydney,Gaming Console,5.0,869.7,"City Centre, Pitt St Mall",4348.5,2024,November,11,Q4,10,45,5
J-00196,2024-04-27,Tokyo,Tablet Pro,3.0,909.56,"3-5 Shinjuku, Shinjuku-ku",2728.68,2024,April,4,Q2,27,17,6
J-00197,2024-06-01,London,Gaming Laptop,4.0,1994.8,"88 Regent Ave, SW1A 2AA",7979.2,2024,June,6,Q2,1,22,3
J-00198,2024-03-23,Berlin,4K Camera,1.0,1068.75,"Kurfurstendamm 22, 10719",1068.75,2024,March,3,Q1,23,12,0
J-00199,2024-02-02,Kathmandu,Tablet Pro,4.0,831.13,"Durbar Marg, KTM 44601",3324.52,2024,February,2,Q1,2,5,2
J-00200,2024-11-09,Kathmandu,Gaming Console,2.0,2192.79,"Durbar Marg, KTM 44601",4385.58,2024,November,11,Q4,9,45,2
J-00201,2024-04-28,Dubai,Smart TV,2.0,350.8,"Mall of Emirates, B1-45",701.6,2024,April,4,Q2,28,17,1
J-00205,2024-12-01,Tokyo,Smart TV,7.0,1572.37,"1-1 Akihabara, Chiyoda",11006.59,2024,December,12,Q4,1,48,6
J-00206,2024-08-05,Dubai,Smart Watch,3.0,2411.83,"Dubai Mall, Level 2, S12",7235.49,2024,August,8,Q3,5,32,1
J-00207,2024-07-08,Tokyo,Smart Watch,1.0,1320.73,"1-1 Akihabara, Chiyoda",1320.73,2024,July,7,Q3,8,28,6
J-00209,2024-10-19,Dubai,Smart Watch,3.0,2240.41,"Dubai Mall, Level 2, S12",6721.23,2024,October,10,Q4,19,42,1
J-00210,2024-12-25,Dubai,Smart Watch,2.0,997.86,"Mall of Emirates, B1-45",1995.72,2024,December,12,Q4,25,52,1
J-00211,2024-11-03,London,Tablet Pro,3.0,2309.77,"88 Regent Ave, SW1A 2AA",6929.31,2024,November,11,Q4,3,44,3
J-00216,2024-04-11,London,Gaming Console,3.0,792.32,"88 Regent Ave, SW1A 2AA",2376.96,2024,April,4,Q2,11,15,3
J-00218,2024-12-13,Tokyo,Smart TV,7.0,79.77,"3-5 Shinjuku, Shinjuku-ku",558.39,2024,December,12,Q4,13,50,6
J-00219,2024-07-08,Dubai,Tablet Pro,2.0,1101.52,"Mall of Emirates, B1-45",2203.04,2024,July,7,Q3,8,28,1
J-00220,2024-03-02,Dubai,Smart TV,1.0,315.33,"Mall of Emirates, B1-45",315.33,2024,March,3,Q1,2,9,1
J-00221,2024-10-22,Tokyo,Gaming Console,1.0,1729.57,"1-1 Akihabara, Chiyoda",1729.57,2024,October,10,Q4,22,43,6
J-00224,2024-11-25,Tokyo,Gaming Console,6.0,1035.22,"1-1 Akihabara, Chiyoda",6211.32,2024,November,11,Q4,25,48,6
J-00226,2024-12-09,Tokyo,Wireless Earbuds,4.0,826.69,"3-5 Shinjuku, Shinjuku-ku",3306.76,2024,December,12,Q4,9,50,6
J-00230,2024-08-16,Sydney,Smart Watch,1.0,2084.91,"88 George St, NSW 2000",2084.91,2024,August,8,Q3,16,33,5
J-00231,2024-06-04,Dubai,Smart TV,2.0,1330.55,"Dubai Mall, Level 2, S12",2661.1,2024,June,6,Q2,4,23,1
J-00232,2024-11-17,Kathmandu,4K Camera,5.0,491.53,"Durbar Marg, KTM 44601",2457.65,2024,November,11,Q4,17,46,2
J-00233,2024-05-03,New York,Smart Watch,3.0,801.72,"200 Broadway, NY 10007",2405.16,2024,May,5,Q2,3,18,4
J-00235,2024-01-14,Dubai,Smart TV,6.0,59.31,"Dubai Mall, Level 2, S12",355.86,2024,January,1,Q1,14,2,1
J-00236,2024-05-04,Kathmandu,Tablet Pro,7.0,2082.98,"Durbar Marg, KTM 44601",14580.86,2024,May,5,Q2,4,18,2
J-00238,2024-11-10,Sydney,Smart TV,4.0,1384.83,"88 George St, NSW 2000",5539.32,2024,November,11,Q4,10,45,5
J-00241,2024-06-07,Tokyo,Tablet Pro,6.0,1766.67,"3-5 Shinjuku, Shinjuku-ku",10600.02,2024,June,6,Q2,7,23,6
J-00244,2024-07-25,Sydney,Smart TV,7.0,966.25,"88 George St, NSW 2000",6763.75,2024,July,7,Q3,25,30,5
J-00245,2024-05-10,Tokyo,Tablet Pro,2.0,838.61,"3-5 Shinjuku, Shinjuku-ku",1677.22,2024,May,5,Q2,10,19,6
J-00246,2024-07-13,Sydney,Gaming Console,6.0,2459.96,"City Centre, Pitt St Mall",14759.76,2024,July,7,Q3,13,28,5
J-00247,2024-03-24,Tokyo,Smart TV,4.0,2493.52,"1-1 Akihabara, Chiyoda",9974.08,2024,March,3,Q1,24,12,6
J-00248,2024-09-22,Kathmandu,Tablet Pro,4.0,176.36,"New Road, Kathmandu 44600",705.44,2024,September,9,Q3,22,38,2
J-00249,2024-09-13,Kathmandu,Smart Watch,5.0,1375.52,"Durbar Marg, KTM 44601",6877.6,2024,September,9,Q3,13,37,2
J-00250,2024-11-03,Tokyo,Tablet Pro,7.0,184.03,"3-5 Shinjuku, Shinjuku-ku",1288.21,2024,November,11,Q4,3,44,6
J-00251,2024-12-21,New York,Gaming Laptop,6.0,1884.62,"350 5th Ave, NY 10118",11307.72,2024,December,12,Q4,21,51,4
J-00253,2024-04-05,Berlin,Smart TV,2.0,1845.68,"Kurfurstendamm 22, 10719",3691.36,2024,April,4,Q2,5,14,0
J-00255,2024-12-16,Tokyo,Tablet Pro,7.0,1363.74,"3-5 Shinjuku, Shinjuku-ku",9546.18,2024,December,12,Q4,16,51,6
J-00258,2024-10-11,Sydney,Smart Watch,1.0,552.97,"88 George St, NSW 2000",552.97,2024,October,10,Q4,11,41,5
J-00259,2024-03-05,New York,Smart TV,2.0,1210.92,"200 Broadway, NY 10007",2421.84,2024,March,3,Q1,5,10,4
J-00261,2024-06-21,Berlin,Gaming Console,4.0,2395.83,"Alexanderplatz 5, 10178",9583.32,2024,June,6,Q2,21,25,0
J-00263,2024-09-10,Tokyo,4K Camera,3.0,1773.25,"1-1 Akihabara, Chiyoda",5319.75,2024,September,9,Q3,10,37,6
J-00264,2024-10-29,Sydney,Wireless Earbuds,1.0,205.36,"88 George St, NSW 2000",205.36,2024,October,10,Q4,29,44,5
J-00268,2024-09-12,Dubai,Tablet Pro,5.0,1468.28,"Mall of Emirates, B1-45",7341.4,2024,September,9,Q3,12,37,1
J-00270,2024-10-17,New York,4K Camera,3.0,2010.66,"350 5th Ave, NY 10118",6031.98,2024,October,10,Q4,17,42,4
J-00272,2024-05-18,Kathmandu,Smart Watch,6.0,2160.38,"Durbar Marg, KTM 44601",12962.28,2024,May,5,Q2,18,20,2
J-00274,2024-05-13,Kathmandu,Wireless Earbuds,3.0,236.38,"Durbar Marg, KTM 44601",709.14,2024,May,5,Q2,13,20,2
J-00275,2024-07-07,New York,Tablet Pro,7.0,2038.89,"350 5th Ave, NY 10118",14272.23,2024,July,7,Q3,7,27,4
J-00276,2024-04-28,Sydney,Wireless Earbuds,4.0,1549.56,"88 George St, NSW 2000",6198.24,2024,April,4,Q2,28,17,5
J-00277,2024-10-18,Dubai,Gaming Laptop,6.0,2286.65,"Dubai Mall, Level 2, S12",13719.9,2024,October,10,Q4,18,42,1
J-00280,2024-12-19,London,Smart TV,7.0,1814.58,"12 Oxford St, W1D 1AB",12702.06,2024,December,12,Q4,19,51,3
J-00281,2024-04-25,New York,Gaming Console,3.0,2426.43,"350 5th Ave, NY 10118",7279.29,2024,April,4,Q2,25,17,4
J-00282,2024-05-10,Berlin,4K Camera,1.0,1513.81,"Alexanderplatz 5, 10178",1513.81,2024,May,5,Q2,10,19,0
J-00284,2024-07-28,Sydney,4K Camera,7.0,2066.99,"88 George St, NSW 2000",14468.93,2024,July,7,Q3,28,30,5
J-00285,2024-10-16,Kathmandu,Gaming Console,2.0,54.96,"New Road, Kathmandu 44600",109.92,2024,October,10,Q4,16,42,2
J-00286,2024-05-10,London,Gaming Console,5.0,253.54,"88 Regent Ave, SW1A 2AA",1267.7,2024,May,5,Q2,10,19,3
J-00288,2024-01-12,Kathmandu,Smart TV,2.0,68.74,"New Road, Kathmandu 44600",137.48,2024,January,1,Q1,12,2,2
J-00289,2024-03-02,Sydney,Tablet Pro,2.0,223.58,"City Centre, Pitt St Mall",447.16,2024,March,3,Q1,2,9,5
J-00290,2024-06-19,Berlin,Smart TV,7.0,1201.14,"Kurfurstendamm 22, 10719",8407.98,2024,June,6,Q2,19,25,0
J-00293,2024-11-14,London,Wireless Earbuds,2.0,2260.89,"88 Regent Ave, SW1A 2AA",4521.78,2024,November,11,Q4,14,46,3
J-00295,2024-05-23,London,Gaming Console,7.0,1679.72,"88 Regent Ave, SW1A 2AA",11758.04,2024,May,5,Q2,23,21,3
J-00301,2024-03-09,Kathmandu,4K Camera,6.0,1159.11,"New Road, Kathmandu 44600",6954.66,2024,March,3,Q1,9,10,2
J-00305,2024-05-08,Sydney,Gaming Console,3.0,106.47,"City Centre, Pitt St Mall",319.41,2024,May,5,Q2,8,19,5
J-00306,2024-01-06,Tokyo,Smart Watch,7.0,1741.18,"1-1 Akihabara, Chiyoda",12188.26,2024,January,1,Q1,6,1,6
J-00309,2024-05-17,Dubai,Tablet Pro,6.0,1004.31,"Dubai Mall, Level 2, S12",6025.86,2024,May,5,Q2,17,20,1
J-00310,2024-08-07,Tokyo,Wireless Earbuds,6.0,1242.23,"3-5 Shinjuku, Shinjuku-ku",7453.38,2024,August,8,Q3,7,32,6
J-00312,2024-12-17,Berlin,4K Camera,5.0,86.44,"Alexanderplatz 5, 10178",432.2,2024,December,12,Q4,17,51,0
J-00313,2024-07-27,London,Tablet Pro,3.0,2481.04,"12 Oxford St, W1D 1AB",7443.12,2024,July,7,Q3,27,30,3
J-00317,2024-08-24,Tokyo,Wireless Earbuds,3.0,2212.06,"1-1 Akihabara, Chiyoda",6636.18,2024,August,8,Q3,24,34,6
J-00319,2024-03-04,New York,Tablet Pro,5.0,1301.32,"350 5th Ave, NY 10118",6506.6,2024,March,3,Q1,4,10,4
J-00320,2024-05-08,London,Smart TV,6.0,2291.33,"12 Oxford St, W1D 1AB",13747.98,2024,May,5,Q2,8,19,3
J-00321,2024-03-23,Berlin,Tablet Pro,2.0,1450.47,"Alexanderplatz 5, 10178",2900.94,2024,March,3,Q1,23,12,0
J-00322,2024-03-12,Berlin,Smart TV,4.0,2221.71,"Alexanderplatz 5, 10178",8886.84,2024,March,3,Q1,12,11,0
J-00324,2024-05-29,Kathmandu,Wireless Earbuds,1.0,1887.36,"Durbar Marg, KTM 44601",1887.36,2024,May,5,Q2,29,22,2
J-00326,2024-09-16,London,Smart Watch,7.0,978.43,"12 Oxford St, W1D 1AB",6849.01,2024,September,9,Q3,16,38,3
J-00329,2024-10-19,Tokyo,Tablet Pro,1.0,926.73,"3-5 Shinjuku, Shinjuku-ku",926.73,2024,October,10,Q4,19,42,6
J-00331,2024-12-17,Dubai,Gaming Laptop,1.0,1976.97,"Dubai Mall, Level 2, S12",1976.97,2024,December,12,Q4,17,51,1
J-00333,2024-02-22,London,Wireless Earbuds,2.0,706.11,"88 Regent Ave, SW1A 2AA",1412.22,2024,February,2,Q1,22,8,3
J-00336,2024-05-21,Kathmandu,Smart TV,4.0,2125.04,"Durbar Marg, KTM 44601",8500.16,2024,May,5,Q2,21,21,2
J-00337,2024-07-22,Berlin,Smart TV,5.0,225.46,"Kurfurstendamm 22, 10719",1127.3,2024,July,7,Q3,22,30,0
J-00342,2024-07-03,Sydney,Smart TV,3.0,2346.94,"City Centre, Pitt St Mall",7040.82,2024,July,7,Q3,3,27,5
J-00343,2024-09-04,London,Tablet Pro,3.0,1897.98,"88 Regent Ave, SW1A 2AA",5693.94,2024,September,9,Q3,4,36,3
J-00344,2024-05-19,Tokyo,Smart Watch,1.0,275.26,"1-1 Akihabara, Chiyoda",275.26,2024,May,5,Q2,19,20,6
J-00346,2024-09-10,New York,Gaming Console,1.0,749.75,"350 5th Ave, NY 10118",749.75,2024,September,9,Q3,10,37,4
J-00347,2024-06-23,Tokyo,4K Camera,3.0,1265.22,"3-5 Shinjuku, Shinjuku-ku",3795.66,2024,June,6,Q2,23,25,6
J-00348,2024-02-28,Kathmandu,Wireless Earbuds,5.0,1882.25,"New Road, Kathmandu 44600",9411.25,2024,February,2,Q1,28,9,2
J-00349,2024-10-24,Berlin,Tablet Pro,3.0,658.03,"Kurfurstendamm 22, 10719",1974.09,2024,October,10,Q4,24,43,0
J-00350,2024-01-22,New York,4K Camera,2.0,553.11,"350 5th Ave, NY 10118",1106.22,2024,January,1,Q1,22,4,4
J-00351,2024-01-07,Dubai,4K Camera,5.0,881.77,"Dubai Mall, Level 2, S12",4408.85,2024,January,1,Q1,7,1,1
J-00352,2024-01-15,Sydney,Smart TV,4.0,1572.61,"88 George St, NSW 2000",6290.44,2024,January,1,Q1,15,3,5
J-00354,2024-10-31,Dubai,Gaming Laptop,3.0,133.66,"Mall of Emirates, B1-45",400.98,2024,October,10,Q4,31,44,1
J-00357,2024-10-24,Kathmandu,Wireless Earbuds,7.0,1311.67,"New Road, Kathmandu 44600",9181.69,2024,October,10,Q4,24,43,2
J-00359,2024-05-14,Sydney,4K Camera,1.0,356.56,"88 George St, NSW 2000",356.56,2024,May,5,Q2,14,20,5
J-00360,2024-07-28,Sydney,Gaming Console,5.0,2386.23,"City Centre, Pitt St Mall",11931.15,2024,July,7,Q3,28,30,5
J-00362,2024-09-28,New York,Gaming Console,7.0,524.72,"200 Broadway, NY 10007",3673.04,2024,September,9,Q3,28,39,4
J-00363,2024-05-07,Kathmandu,Smart TV,3.0,659.48,"Durbar Marg, KTM 44601",1978.44,2024,May,5,Q2,7,19,2
J-00364,2024-10-11,London,Smart TV,5.0,221.64,"12 Oxford St, W1D 1AB",1108.2,2024,October,10,Q4,11,41,3
J-00365,2024-05-20,New York,Gaming Laptop,3.0,1267.2,"200 Broadway, NY 10007",3801.6,2024,May,5,Q2,20,21,4
J-00366,2024-07-13,Sydney,Tablet Pro,5.0,1745.44,"City Centre, Pitt St Mall",8727.2,2024,July,7,Q3,13,28,5
