LOG_ID,EVENT_DATE,CITY,STORE_ADDRESS,PRODUCT,UNITS_SOLD,UNIT_PRICE
C-00192,24/10/2024,London,"88 Regent Ave, SW1A 2AA",Wireless Earbuds,8,2702.79
C-00193,07/06/2024,Kathmandu,"New Road, Kathmandu 44600",4K Camera,5,946.48
C-00194,27/02/2024,London,"12 Oxford St, W1D 1AB",Smart Watch,2,1749.03
C-00195,14/11/2024,Berlin,"Alexanderplatz 5, 10178",Smart TV,2,1727.42
C-00196,15/09/2024,London,"12 Oxford St, W1D 1AB",Wireless Earbuds,1,-177.34
C-00197,29/10/2024,London,"88 Regent Ave, SW1A 2AA",Gaming Console,2,2943.32
C-00198,12/03/2024,Kathmandu,"New Road, Kathmandu 44600",Gaming Console,1,1760.82
C-00199,09/11/2024,London,"12 Oxford St, W1D 1AB",Wireless Earbuds,QTY_ERR,2353.1
C-00200,06/01/2024,London,"88 Regent Ave, SW1A 2AA",4K Camera,8,1239.16
C-00201,21/11/2024,Berlin,"Alexanderplatz 5, 10178",Tablet Pro,3,2350.92
C-00202,25/02/2024,New York,"350 5th Ave, NY 10118",Gaming Laptop,3,2949.29
C-00203,07/10/2024,Dubai,"Mall of Emirates, B1-45",4K Camera,4,2166.08
C-00204,26/02/2024,London,"12 Oxford St, W1D 1AB",Gaming Console,3,-105.27
C-00205,04/05/2024,Berlin,"Alexanderplatz 5, 10178",Wireless Earbuds,8,2666.19
C-00206,20/04/2024,Kathmandu,"Durbar Marg, KTM 44601",Smart Watch,1,624.42
C-00207,13/06/2024,Dubai,"Dubai Mall, Level 2, S12",Smart TV,3,2628.38
C-00208,28/05/2024,New York,"200 Broadway, NY 10007",Wireless Earbuds,6,-136.17
C-00209,06/06/2024,London,"12 Oxford St, W1D 1AB",Smart TV,1,496.2
C-00210,28/05/2024,Sydney,"88 George St, NSW 2000",Gaming Console,8,-155.72
C-00211,27/06/2024,Tokyo,"3-5 Shinjuku, Shinjuku-ku",4K Camera,6,884.97
C-00212,08/10/2024,Berlin,"Alexanderplatz 5, 10178",4K Camera,1,1958.31
C-00213,22/07/2024,Kathmandu,"Durbar Marg, KTM 44601",Gaming Laptop,3,2647.04
C-00214,16/01/2024,London,"88 Regent Ave, SW1A 2AA",Gaming Console,5,2657.88
C-00215,02/12/2024,Kathmandu,"Durbar Marg, KTM 44601",Smart Watch,7,677.05
C-00216,06/05/2024,Berlin,"Alexanderplatz 5, 10178",4K Camera,6,309.26
C-00217,08/01/2024,Berlin,"Alexanderplatz 5, 10178",Gaming Console,3,2724.19
C-00218,24/10/2024,London,"88 Regent Ave, SW1A 2AA",Wireless Earbuds,7,1990.79
C-00219,06/10/2024,Dubai,"Mall of Emirates, B1-45",Gaming Console,3,52.47
C-00220,16/12/2024,New York,"350 5th Ave, NY 10118",Tablet Pro,7,2469.01
C-00221,16/05/2024,Berlin,"Kurfurstendamm 22, 10719",Gaming Console,1,-272.08
C-00222,10/08/2024,Dubai,"Mall of Emirates, B1-45",Wireless Earbuds,8,2532.05
C-00223,10/03/2024,Sydney,"88 George St, NSW 2000",Gaming Laptop,2,147.64
C-00224,19/04/2024,New York,"350 5th Ave, NY 10118",4K Camera,8,941.23
C-00225,09/07/2024,Sydney,"City Centre, Pitt St Mall",Smart TV,9,-271.68
C-00226,27/10/2024,London,"12 Oxford St, W1D 1AB",Gaming Console,1,949.09
C-00227,11/09/2024,New York,"350 5th Ave, NY 10118",Tablet Pro,1,2109.96
C-00228,18/01/2024,Tokyo,"3-5 Shinjuku, Shinjuku-ku",Tablet Pro,8,-96.62
C-00229,21/04/2024,New York,"350 5th Ave, NY 10118",4K Camera,6,2886.46
C-00230,03/06/2024,Berlin,"Kurfurstendamm 22, 10719",Gaming Console,1,350.57
C-00231,11/11/2024,Sydney,"City Centre, Pitt St Mall",Smart TV,9,619.68
C-00232,26/12/2024,New York,"350 5th Ave, NY 10118",Gaming Laptop,2,1171.65
C-00233,26/06/2024,Sydney,"88 George St, NSW 2000",Tablet Pro,7,2211.52
C-00234,20/05/2024,Kathmandu,"Durbar Marg, KTM 44601",Smart TV,8,2762.88
C-00235,26/11/2024,Tokyo,"1-1 Akihabara, Chiyoda",Tablet Pro,3,193.84
C-00236,10/11/2024,Sydney,"88 George St, NSW 2000",4K Camera,4,2967.26
C-00237,22/01/2024,New York,"200 Broadway, NY 10007",Gaming Console,9,1450.34
C-00238,29/02/2024,Tokyo,"3-5 Shinjuku, Shinjuku-ku",Tablet Pro,3,495.46
C-00239,05/08/2024,Dubai,"Mall of Emirates, B1-45",Tablet Pro,8,1288.22
C-00240,11/02/2024,London,"88 Regent Ave, SW1A 2AA",4K Camera,1,933.22
C-00241,06/02/2024,Berlin,"Alexanderplatz 5, 10178",Wireless Earbuds,3,2741.07
C-00242,20/10/2024,London,"88 Regent Ave, SW1A 2AA",Gaming Console,4,340.61
C-00243,02/03/2024,Tokyo,"3-5 Shinjuku, Shinjuku-ku",Gaming Laptop,9,1159.12
C-00244,06/08/2024,Berlin,"Kurfurstendamm 22, 10719",Wireless Earbuds,4,2349.95
C-00245,16/11/2024,New York,"350 5th Ave, NY 10118",Gaming Console,2,2335.16
C-00246,16/04/2024,Dubai,"Dubai Mall, Level 2, S12",Tablet Pro,3,636.77
C-00247,12/10/2024,Tokyo,"1-1 Akihabara, Chiyoda",Tablet Pro,7,385.87
C-00248,15/06/2024,Sydney,"City Centre, Pitt St Mall",Smart TV,1,576.32
C-00249,07/11/2024,New York,"200 Broadway, NY 10007",4K Camera,9,-293.5
C-00250,16/04/2024,Dubai,"Dubai Mall, Level 2, S12",4K Camera,6,2249.05
C-00251,13/04/2024,New York,"200 Broadway, NY 10007",Tablet Pro,6,1495.25
C-00252,15/05/2024,Kathmandu,"Durbar Marg, KTM 44601",Wireless Earbuds,4,2656.63
C-00253,19/11/2024,Dubai,"Mall of Emirates, B1-45",Gaming Console,4,1836.56
C-00254,09/12/2024,London,"12 Oxford St, W1D 1AB",Gaming Console,7,2995.84
C-00255,21/09/2024,Tokyo,"3-5 Shinjuku, Shinjuku-ku",Smart TV,5,299.52
C-00256,08/10/2024,Berlin,"Kurfurstendamm 22, 10719",Gaming Console,3,-126.66
C-00257,20/09/2024,Sydney,"88 George St, NSW 2000",Tablet Pro,4,-186.18
C-00258,27/09/2024,New York,"350 5th Ave, NY 10118",Wireless Earbuds,1,882.54
C-00259,22/12/2024,New York,"200 Broadway, NY 10007",Gaming Console,8,2264.05
C-00260,15/11/2024,New York,"350 5th Ave, NY 10118",Smart Watch,9,1584.82
C-00261,20/02/2024,Tokyo,"1-1 Akihabara, Chiyoda",Smart Watch,6,1375.56
C-00262,13/05/2024,Kathmandu,"New Road, Kathmandu 44600",Gaming Console,2,1356.6
C-00263,30/11/2024,Berlin,"Kurfurstendamm 22, 10719",Smart TV,9,1397.98
C-00264,09/11/2024,Dubai,"Mall of Emirates, B1-45",4K Camera,8,-249.48
C-00265,23/11/2024,Berlin,"Kurfurstendamm 22, 10719",Smart Watch,5,669.82
C-00266,29/12/2024,New York,"350 5th Ave, NY 10118",Wireless Earbuds,5,111.23
C-00267,08/03/2024,Sydney,"City Centre, Pitt St Mall",Wireless Earbuds,9,312.67
C-00268,02/06/2024,New York,"350 5th Ave, NY 10118",Smart Watch,6,866.61
C-00269,06/08/2024,New York,"200 Broadway, NY 10007",Tablet Pro,9,-208.15
C-00270,27/07/2024,London,"12 Oxford St, W1D 1AB",Gaming Console,4,1634.89
C-00271,16/01/2024,Sydney,"88 George St, NSW 2000",4K Camera,8,1019.77
C-00272,30/11/2024,London,"88 Regent Ave, SW1A 2AA",Gaming Console,7,2598.52
C-00273,06/02/2024,Dubai,"Dubai Mall, Level 2, S12",Smart Watch,8,2792.5
C-00274,11/03/2024,Berlin,"Kurfurstendamm 22, 10719",Smart TV,7,-212.18
C-00275,19/02/2024,Sydney,"88 George St, NSW 2000",Wireless Earbuds,7,-109.76
C-00276,14/05/2024,Tokyo,"3-5 Shinjuku, Shinjuku-ku",Gaming Laptop,8,1382.65
C-00277,29/07/2024,Dubai,"Dubai Mall, Level 2, S12",Wireless Earbuds,4,309.06
C-00278,20/01/2024,Tokyo,"3-5 Shinjuku, Shinjuku-ku",4K Camera,3,1945.07
C-00279,26/10/2024,Tokyo,"1-1 Akihabara, Chiyoda",Smart TV,7,2694.92
C-00280,01/05/2024,Sydney,"City Centre, Pitt St Mall",4K Camera,7,1286.81
C-00281,21/11/2024,Tokyo,"3-5 Shinjuku, Shinjuku-ku",Gaming Laptop,3,2448.95
C-00282,05/10/2024,Berlin,"Alexanderplatz 5, 10178",4K Camera,9,910.04
C-00283,23/07/2024,Sydney,"88 George St, NSW 2000",Tablet Pro,8,2295.72
C-00284,07/06/2024,Dubai,"Mall of Emirates, B1-45",Smart TV,1,1006.39
C-00285,28/06/2024,Berlin,"Alexanderplatz 5, 10178",Gaming Console,2,2961.6
C-00286,30/11/2024,Sydney,"88 George St, NSW 2000",Wireless Earbuds,8,-187.11
C-00287,12/03/2024,Tokyo,"1-1 Akihabara, Chiyoda",Smart Watch,3,299.5
C-00288,27/06/2024,Berlin,"Kurfurstendamm 22, 10719",Smart Watch,7,1146.13
C-00289,08/02/2024,Sydney,"City Centre, Pitt St Mall",Gaming Laptop,2,1596.84
C-00290,22/07/2024,Dubai,"Mall of Emirates, B1-45",Gaming Console,2,2221.78
C-00291,25/10/2024,London,"12 Oxford St, W1D 1AB",Smart Watch,1,-150.11
